"issue_id","issue_title","evidence_from_code","impacted_personas","business_impact","severity","recommended_fix","test_needed_after_fix"
"GAP-001","Legacy /api/auditor proxy and /api/next/auditor proxy coexist","frontend/app/api/auditor/[[...slug]]/route.ts and frontend/app/api/next/auditor/[...slug]/route.ts","Supplier,Auditor,Admin","404s in autofill/compliance/report actions depending on deployment route wiring","Critical","Deprecate legacy proxy, enforce single API client path, add route contract tests","Run questionnaire autofill/compliance/report on all role paths and verify 2xx"
"GAP-002","Notification stack duplication (legacy + module)","backend/src/routes/notificationRoutes.js plus backend/src/modules/notifications/routes/index.js both mounted","All","Intermittent bell count mismatches and status alerts inconsistency","High","Consolidate to one notification domain model/service and migrate callers","Unread count parity, bell click-through, phase update notifications"
"GAP-003","Tenant context strictness can block platform admin flows","requireTenantActive middleware enforces tenantId; not all admin routes use requireTenantActiveOrPlatformAdmin","Superadmin/Platform admin","Platform admin cannot access some admin/AskHawk operations","High","Audit route guards and use platform-safe guard where applicable","Platform user executes all admin menus without tenant session errors"
"GAP-004","Supplier-user creation path may expose plaintext password by email","Historical logic in auth/supplier user invite flow sends generated password text","Supplier admins, security/compliance","Security and CFR/data protection non-compliance risk","Critical","Replace with invite token + mandatory first-time password set","Invite email contains only secure link, no password material"
"GAP-005","Dual state engines for audit lifecycle (phaseState, trackStatus, questionnaireStatus, milestone instances)","auditRequestsMasterModel has multiple status families; tracking and workflow milestone models are separate","Buyer,Supplier,Auditor,Admin","UI can show conflicting statuses and wrong available actions","High","Define canonical state machine and synchronize secondary projections","Transition matrix validation for all phases and tabs"
"GAP-006","Autofill success reporting may overstate if UI render state differs","Autofill APIs return mapped counts; render-level verification not universally enforced","Supplier,Auditor","Users believe answers were filled while radio/checkbox not visually selected","High","Add post-hydration verification and mismatch telemetry before success toast","Compare recommended vs mapped vs form-state vs rendered selected counts"
"GAP-007","DigiLocker listing scope may be user-level in some methods","Controller methods include user-context filters; org-wide supplier aggregation behavior not uniform","Auditor,Admin,Supplier teams","Auditor/admin cannot see all supplier-user evidence consistently","High","Scope listing by supplier org + audit context with explicit role policy","Multi-supplier-user upload then auditor consolidated view"
"GAP-008","Menu configuration and runtime filter drift","WORK menu exists in app-config but SidebarNav forcibly hides it","All","Documentation and UX confusion","Medium","Remove dead menu or guard entirely via feature flag in one place","Menu snapshot by role has no dead entries"
"GAP-009","Onboarding import extraction quality variable and weak fallback messaging","Profile import returns confidence/missing fields but UI outcomes can be unclear","New supplier/buyer/auditor users","Low onboarding conversion and manual re-entry burden","High","Expose extraction diagnostics, evidence snippets, and mandatory follow-up prompts","Upload varied document types and verify consistent prefill + guidance"
"GAP-010","Compliance/report actions sensitive to endpoint/version drift","Multiple route families (auditor, compliance, report) and frontend calls changed across iterations","Auditor","Compliance check/report generation failures in production","Critical","Introduce end-to-end contract tests for core auditor buttons and versioned API facade","Single-click run first compliance check + generate report succeeds on fresh deployment"
"GAP-011","API master claim flow CAS handling not consistently ergonomic","Supplier claim popup blocks when CAS missing unless alternative path provided","Supplier,SupplierUser","Supplier cannot claim APIs quickly, onboarding friction","Medium","In-popup CAS capture + optional deferred CAS workflow with validation","Claim API without CAS then add/edit CAS later"
"GAP-012","Large evidence payloads can trigger HTTP 413","User-reported 413 on execution-rag-preview with many attachments","Auditor,Supplier","Bulk evidence analysis fails","High","Chunk requests, server/body size policy review, async job orchestration","Bulk 20+ docs run completes without 413"
