"feature_name","category","business_purpose","technical_summary","personas","ui_triggers","source_files","api_endpoints","db_entities","validation_rules","status_dependency","known_gaps","test_cases_needed","confidence"
"Authentication & Session","Platform","Secure access and role identity for all workflows","JWT auth with cookie/header support; Next middleware gate","All","Login page submit","frontend/app/auth/signin/page.tsx; frontend/middleware.ts; backend/src/routes/authRoutes.js; backend/src/middlewares/authMiddleware.js","POST /api/auth/login, /api/auth/*","users, tenants","JWT validity, email/password, user status ACTIVE","None","Tenant context errors for platform users if guards inconsistent","Auth happy path, invalid token, disabled user, tenant missing","Confirmed from code"
"Role-based Sidebar Navigation","Platform","Expose only relevant modules by role and entitlement","SidebarMenuSections + runtime filtering in SidebarNav","All authenticated roles","App load / role switch","frontend/constant/app-config.ts; frontend/components/layout/Drawer/SidebarNav.tsx","GET /api/v2/modules/active","tenant_module_configs","Role list + entitlement flags","Module entitlement state","WORK item defined but hard-hidden","Role visibility matrix, entitlement toggles, supplier sub-user restrictions","Confirmed from code"
"Buyer Audit Request Creation","Business","Initiate audit lifecycle for supplier/site/product","Buyer request form posts audit request and seeds phase artifacts","Buyer,Admin","Request Audit page submit","frontend/app/(console)/request-audit/page.tsx; backend/src/routes/buyerRoutes.js","POST /api/buyer/audit-request","audit-requests-master, audit-artifacts","Required supplier/site/product/compliance date","Initial phase INITIATED","Duplicate prevention by site/product in active audits needs runtime validation","Create, duplicate attempt, missing required fields","Confirmed from code"
"Audit Summary Listing","Business","Track all audits and navigate into execution","Role-specific audit fetch APIs and list pages","Buyer,Supplier,SupplierUser,Auditor,Admin,Tenant Admin,Superadmin","Audit Summary menu click","frontend/app/(console)/audits/page.tsx; backend/src/routes/auditRequestRoutes.js","GET /api/audit-requests/buyer, /supplier, /auditor","audit-requests-master","Tenant scoping + role-based filters","high_status, phaseState, questionnaireStatus","Dual status engines may drift","Role list scoping, filters, pagination, archived records","Confirmed from code"
"Phase/Milestone Tracking","Business","Visible progress control across audit lifecycle","Phase state in audit request + workflow milestone instance model + tracking APIs","Buyer,Supplier,Auditor,Admin","Audit detail Tracking tab","frontend/app/(console)/audits/[id]/milestones/page.tsx; backend/src/routes/trackingRoutes.js; backend/src/services/workflowMilestoneService.js","GET/PUT /api/audits/:id/tracking* and /api/workflow-milestones/*","workflow_milestone_instances, status_tracker, phase_tracker, audit-requests-master","Allowed transitions per phase/milestone definition","PHASE_STATUSES + milestone status","Parallel trackers can desync","Transition guards, SLA alerts, tracking label readability","Confirmed from code"
"Execution Questionnaire Rendering","Business","Capture supplier responses and auditor review comments","Dynamic question rendering from template questions into auditQuestions records","Supplier,SupplierUser,Auditor","Audit > report?mode=questionnaire","frontend/components/audits/questionnaire.tsx; frontend/components/audits/SmartQuestion.tsx; backend/src/models/auditQuestionsModels.js","GET /api/auditor/audit-questionsId, PUT /api/auditor/audit-question/update-data/:auditRequestId","auditQuestions","Answer type/schema checks + assignment checks","responseStatus + questionnaireStatus","Radio/checkbox UI sync must be render-verified","All control types, save/reopen, section assignment restriction","Confirmed from code"
"Questionnaire Auto-fill from Evidence","Business","Reduce supplier manual effort using attachments and DigiLocker evidence","Auto-fill controller extracts/matches evidence and writes responses + autoFillMeta","Supplier,SupplierUser,Auditor (preview/testing)","Scan docs & fill questionnaire","frontend/app/(console)/audits/[id]/report/page.tsx; backend/src/controllers/autoFillController.js","POST /api/auditor/auto-fill/:auditRequestId, POST /api/auditor/audits/:id/rag/run","auditQuestions, digilocker documents","Question mapping + evidence confidence rules","questionnaireStatus in_progress","Endpoint path mismatch risks if frontend calls legacy proxy route","No docs, partial docs, mixed controls, evidence references shown","Confirmed from code"
"First Compliance Check (ICH Q7/CFR)","Business","Provide auditor preliminary compliance verdict from questionnaire/evidence","Compliance run engine with standards and question results","Auditor","Run First Compliance Check button","frontend/app/(console)/audits/[id]/report/page.tsx; backend/src/routes/complianceRunRoutes.js","POST /api/auditor/compliance/runs, GET /api/auditor/compliance/runs/:runId","compliance_runs, compliance_question_results, compliance_standard_registry","Tenant + audit access, standard availability","Run lifecycle QUEUED/RUNNING/COMPLETED/FAILED","404 wiring observed historically in envs with stale UI path","Run create, poll status, failure fallback, no-standard case","Confirmed from code"
"Report Draft Generation (WHO-GMP style)","Business","Generate structured audit report with observations and evidence","Report controller composes narrative sections and observation table","Auditor","Summarize and Generate Report button","frontend/app/(console)/audits/[id]/report/page.tsx; backend/src/controllers/reportController.js","POST /api/auditor/audits/:auditId/report/draft, GET /api/auditor/audits/:auditId/report","audit-reports, auditQuestions, audit-requests-master","Audit/questionnaire context required","Findings/CAPA/closure readiness","Output quality dependent on evidence richness and comment quality","Draft generate, regenerate, empty inputs, signoff lock behavior","Confirmed from code"
"Audit Artifact Management","Business","Manage lifecycle of intimation letter, scope, DRL, findings, CAPA, report artifacts","Artifact defaults by phase and status transitions","Buyer,Supplier,Auditor","Audit > Artifacts tab","frontend/app/(console)/audits/[id]/artifacts/page.tsx; backend/src/constants/auditPhases.js; backend/src/controllers/auditPhaseController.js","GET/POST/PUT artifact endpoints under /api/audits/:id/* and /api/audit-phase*","audit-artifacts, audit-artifact-versions","Artifact type + phase ownership checks","artifact status draft/sent/in_progress/complete","Sign-lock behavior requires end-to-end validation","Status transition, locking, immutable signed fields","Strong inference from code"
"DigiLocker Document Vault","Business","Central evidence storage with redaction/share/audit logs","DigiLocker service and models for docs, versions, policies, evidence maps","Supplier,SupplierUser,Buyer,Auditor,Admin","DigiLocker menu + attach popups","frontend/app/(console)/digilocker/page.tsx; backend/src/routes/digilockerRoutes.js","POST /api/digilocker/upload, GET /api/digilocker/documents, POST /api/digilocker/questions/:questionId/attach","digilocker_documents, digilocker_document_versions, digilocker_question_evidence_maps, digilocker_audit_trail_events","File type/size, tenant ownership, policy checks","redaction/access policy states","Cross-user supplier visibility may vary by endpoint implementation","Multi-file upload, attach by question/tab, versioning, audit log","Confirmed from code"
"Supplier Profile Auto-import from Documents","Business","Accelerate onboarding/profile creation by extracting details from uploaded docs","Profile import controller extracts normalized entities and prefill payload","Supplier,Auditor (supported roles in current route)","Signup/onboarding import from document","frontend/components/onboard/primaryInfo.tsx; backend/src/controllers/profileImportController.js","POST /api/profile/import","supplier-profiles, users, digilocker documents (if persisted)","Role allowed + document parse success","Onboarding completion status","Extraction quality varies by source document quality","SMF/report/483 generic docs, OCR heavy docs, low-confidence followup prompts","Confirmed from code"
